C
C     Output produced on a SUN SPARC station 1.
C
C 
C    DCUTRI TEST 
C    SUBROUTINE CALLS =    925, IFAIL =  0
C      N   ABSOLUTE ERROR    INTEGRAL
C       1      0.11E-15   0.9999999999999999
C       2      0.00E+00   1.0000000000000000
C       3      0.11E-15   0.9999999999999999
C       4      0.00E+00   1.0000000000000000
C       5      0.22E-15   0.9999999999999998
C       6      0.22E-15   1.0000000000000002
C       7      0.00E+00   1.0000000000000000
C       8      0.00E+00   1.0000000000000000
C       9      0.22E-15   1.0000000000000002
C      10      0.22E-15   1.0000000000000002
C      11      0.11E-14   0.9999999999999989
C      12      0.56E-15   0.9999999999999994
C      13      0.18E-14   1.0000000000000018
C      14      0.20E-14   1.0000000000000020
C      15      0.56E-15   0.9999999999999994
C      16      0.00E+00   1.0000000000000000
C      17      0.11E-14   1.0000000000000011
C      18      0.93E-14   1.0000000000000093
C      19      0.42E-14   0.9999999999999958
C      20      0.23E-14   0.9999999999999977
C      21      0.22E-15   1.0000000000000002
C      22      0.22E-15   1.0000000000000002
C      23      0.27E-14   0.9999999999999973
C      24      0.22E-13   1.0000000000000222
C      25      0.36E-14   1.0000000000000036
C      26      0.36E-14   1.0000000000000036
C      27      0.89E-15   0.9999999999999991
C      28      0.44E-15   1.0000000000000004
C      29      0.00E+00   1.0000000000000000
C      30      0.32E-13   1.0000000000000315
C      31      0.73E-13   1.0000000000000735
C      32      0.25E-13   0.9999999999999755
C      33      0.33E-14   1.0000000000000033
C      34      0.24E-13   0.9999999999999758
C      35      0.38E-14   1.0000000000000038
C      36      0.33E-15   0.9999999999999997
C      37      0.73E-14   1.0000000000000073
C      38      0.69E-13   0.9999999999999311
C      39      0.66E-13   0.9999999999999339
C      40      0.20E-13   0.9999999999999800
C      41      0.10E-12   0.9999999999998987
C      42      0.32E-13   0.9999999999999685
C      43      0.27E-13   1.0000000000000269
C      44      0.64E-14   0.9999999999999936
C      45      0.11E-14   1.0000000000000011
C      46      0.22E-15   1.0000000000000002
C      47      0.76E-13   1.0000000000000759
C      48      0.61E-12   1.0000000000006117
C      49      0.14E-12   1.0000000000001399
C      50      0.21E-13   1.0000000000000209
C      51      0.29E-12   1.0000000000002902
C      52      0.15E-12   1.0000000000001492
C      53      0.67E-14   0.9999999999999933
C      54      0.73E-14   1.0000000000000073
C      55      0.33E-15   0.9999999999999997
C      56      0.71E-13   1.0000000000000711
C      57      0.39E-12   1.0000000000003877
C      58      0.29E-12   0.9999999999997095
C      59      0.11E-11   1.0000000000010651
